title,combined
High Life,a father and his daughter struggle to survive in deep space where they live in isolation. robertpattinson juliettebinoche andré3000 clairedenis adventure drama horror
At Eternity's Gate,"a look at the life of painter vincent van gogh during the time he lived in arles and auvers-sur-oise, france. willemdafoe rupertfriend oscarisaac julianschnabel biography drama"
On the Basis of Sex,"the true story of ruth bader ginsburg, her struggles for equal rights, and the early cases of a historic career that lead to her nomination and confirmation as u.s. supreme court associate justice. felicityjones armiehammer justintheroux mimileder biography drama"
22 July,"a three-part story of norway's worst terrorist attack in which over seventy people were killed. 22 july looks at the disaster itself, the survivors, norway's political system and the lawyers who worked on this horrific case. andersdanielsenlie jonasstrandgravli jonøigarden paulgreengrass crime drama history"
Slender Man,"in a small town in massachusetts, a group of friends, fascinated by the internet lore of the slender man, attempt to prove that he doesn't actually exist - until one of them mysteriously goes missing. joeyking juliagoldanitelles jazsinclair sylvainwhite horror mystery thriller"
Stree,"in the small town of chanderi, the menfolk live in fear of an evil spirit named ""stree"" who abducts men in the night. based on the urban legend of ""nale ba"" that went viral in karnataka in the 1990s. rajkummarrao shraddhakapoor pankajtripathi amarkaushik comedy horror"
Badhaai ho,a man is embarrassed when he finds out his mother is pregnant. ayushmannkhurrana neenagupta gajrajrao amitravindernathsharma comedy drama
Dumplin',"willowdean ('dumplin'), the plus-size teenage daughter of a former beauty queen, signs up for her mom's miss teen bluebonnet pageant as a protest that escalates when other contestants follow her footsteps, revolutionizing the pageant and their small texas town. daniellemacdonald jenniferaniston odeyarush annefletcher comedy drama"
The 15:17 to Paris,an attempted terrorist attack on a paris bound train is prevented by three courageous young americans. their friendship was their greatest weapon that saved the lives of those on board. alekskarlatos anthonysadler spencerstone clinteastwood biography drama thriller
Greta,a young woman befriends a lonely widow who's harboring a dark and deadly agenda toward her. isabellehuppert chloëgracemoretz maikamonroe neiljordan drama mystery thriller
The Nutcracker and the Four Realms,"a young girl is transported into a magical world of gingerbread soldiers and an army of mice. mackenziefoy keiraknightley morganfreeman lassehallström,joejohnston adventure family fantasy"
Freaks,"a bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control. emilehirsch brucedern gracepark zachlipovsky,adamb.stein drama mystery sciencefiction"
The Darkest Minds,"imprisoned by an adult world that now fears everyone under 18, a group of teens form a resistance group to fight back and reclaim control of their future. amandlastenberg mandymoore bradleywhitford jenniferyuhnelson action adventure drama"
Unfriended: Dark Web,"a teen comes into possession of a new laptop and soon discovers that the previous owner is not only watching him, but will also do anything to get it back. colinwoodell stephanienogueras bettygabriel stephensusco horror mystery thriller"
Escape Plan 2: Hades,"years after he fought his way out of an inescapable prison, ray breslin has organized a new top-notch security force. but when one of his team members goes missing, breslin must return to the hell he once escaped from. sylvesterstallone davebautista xiaominghuang stevenc.miller action crime mystery"
The Titan,a military family takes part in a ground-breaking experiment of genetic evolution and space exploration. samworthington taylorschilling tomwilkinson lennartruff drama mystery romance
Padmaavat,"set in medieval rajasthan, queen padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious sultan hears of padmavati's beauty and forms an obsessive love for the queen of mewar. deepikapadukone ranveersingh shahidkapoor sanjayleelabhansali drama history romance"
Blindspotting,"while on probation, a man begins to re-evaluate his relationship with his volatile best friend. daveeddiggs rafaelcasal janinagavankar carloslópezestrada comedy crime drama"
Cam,"alice, an ambitious camgirl, wakes up one day to discover she's been replaced on her show with an exact replica of herself. madelinebrewer patchdarragh melorawalters danielgoldhaber drama horror mystery"
Tau,"a woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the artificial intelligence that controls the house. maikamonroe edskrein garyoldman federicod'alessandro sciencefiction thriller"
The Strangers: Prey at Night,a family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths. christinahendricks martinhenderson baileemadison johannesroberts horror
Gringo,"gringo, a dark comedy mixed with white-knuckle action and dramatic intrigue, explores the battle of survival for businessman harold soyinka (david oyelowo) when he finds himself crossing the line from law-abiding citizen to wanted criminal. joeledgerton charlizetheron davidoyelowo nashedgerton action comedy crime"
The Professor,a college professor lives his life with reckless abandon after being diagnosed with a terminal illness. johnnydepp rosemariedewitt odessayoung wayneroberts comedy drama
"Game Over, Man!",three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists. adamdevine andersholm blakeanderson kylenewacheck action comedy
Raazi,a kashmiri woman agrees to marry a pakistani army officer in order to spy on pakistan during the indo-pakistan war of 1971. aliabhatt vickykaushal rajitkapoor meghnagulzar action drama thriller
Midnight Sun,a 17-year-old girl suffers from a condition that prevents her from being out in the sunlight. bellathorne patrickschwarzenegger robriggle scottspeer drama romance
Destroyer,a police detective reconnects with people from an undercover assignment in her distant past in order to make peace. nicolekidman tobykebbell tatianamaslany karynkusama action crime drama
Gräns,a customs officer who can smell fear develops an unusual attraction to a strange traveler while aiding a police investigation which will call into question her entire existence. evamelander eeromilonoff jörgenthorsson aliabbasi crime drama fantasy
Wildlife,a teenage boy must deal with his mother's complicated response after his father temporarily abandons them to take a menial and dangerous job. edoxenbould jakegyllenhaal careymulligan pauldano drama
Destination Wedding,"the story of two miserable and unpleasant wedding guests, lindsay and frank, who develop a mutual affection despite themselves. winonaryder keanureeves djdallenbach victorlevin comedy drama romance"
